# Berry curvature in unit of (Angstrom^2)  
#                                      Sum over 1-NumOccupied bands       values at NumOccupied'th band               Sum below Fermi level               values at Fermi level
# kx (1/A)    ky (1/A)    kz (1/A)   kx' (1/A)   ky' (1/A)   kz' (1/A)     Omega_x     Omega_y     Omega_z     Omega_x     Omega_y     Omega_z     Omega_x     Omega_y     Omega_z     Omega_x     Omega_y     Omega_z
#col     1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18
   -1.133340    0.582429    0.000000   -1.133340    0.582429    0.000000  0.0000E+00  0.0000E+00 -0.3288E+00  0.0000E+00  0.0000E+00 -0.3288E+00  0.0000E+00  0.0000E+00 -0.3288E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.108432    0.625572    0.000000   -1.108432    0.625572    0.000000  0.0000E+00  0.0000E+00 -0.3316E+00  0.0000E+00  0.0000E+00 -0.3316E+00  0.0000E+00  0.0000E+00 -0.3316E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.083523    0.668715    0.000000   -1.083523    0.668715    0.000000  0.0000E+00  0.0000E+00 -0.3306E+00  0.0000E+00  0.0000E+00 -0.3306E+00  0.0000E+00  0.0000E+00 -0.3306E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.058614    0.711858    0.000000   -1.058614    0.711858    0.000000  0.0000E+00  0.0000E+00 -0.3259E+00  0.0000E+00  0.0000E+00 -0.3259E+00  0.0000E+00  0.0000E+00 -0.3259E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.033706    0.755001    0.000000   -1.033706    0.755001    0.000000  0.0000E+00  0.0000E+00 -0.3176E+00  0.0000E+00  0.0000E+00 -0.3176E+00  0.0000E+00  0.0000E+00 -0.3176E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.008797    0.798144    0.000000   -1.008797    0.798144    0.000000  0.0000E+00  0.0000E+00 -0.3056E+00  0.0000E+00  0.0000E+00 -0.3056E+00  0.0000E+00  0.0000E+00 -0.3056E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -0.983889    0.841287    0.000000   -0.983889    0.841287    0.000000  0.0000E+00  0.0000E+00 -0.2901E+00  0.0000E+00  0.0000E+00 -0.2901E+00  0.0000E+00  0.0000E+00 -0.2901E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -0.958980    0.884430    0.000000   -0.958980    0.884430    0.000000  0.0000E+00  0.0000E+00 -0.2714E+00  0.0000E+00  0.0000E+00 -0.2714E+00  0.0000E+00  0.0000E+00 -0.2714E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -0.934072    0.927573    0.000000   -0.934072    0.927573    0.000000  0.0000E+00  0.0000E+00 -0.2496E+00  0.0000E+00  0.0000E+00 -0.2496E+00  0.0000E+00  0.0000E+00 -0.2496E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -0.909163    0.970716    0.000000   -0.909163    0.970716    0.000000  0.0000E+00  0.0000E+00 -0.2250E+00  0.0000E+00  0.0000E+00 -0.2250E+00  0.0000E+00  0.0000E+00 -0.2250E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -0.884254    1.013859    0.000000   -0.884254    1.013859    0.000000  0.0000E+00  0.0000E+00 -0.1978E+00  0.0000E+00  0.0000E+00 -0.1978E+00  0.0000E+00  0.0000E+00 -0.1978E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -0.859346    1.057001    0.000000   -0.859346    1.057001    0.000000  0.0000E+00  0.0000E+00 -0.1684E+00  0.0000E+00  0.0000E+00 -0.1684E+00  0.0000E+00  0.0000E+00 -0.1684E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -0.834437    1.100144    0.000000   -0.834437    1.100144    0.000000  0.0000E+00  0.0000E+00 -0.1371E+00  0.0000E+00  0.0000E+00 -0.1371E+00  0.0000E+00  0.0000E+00 -0.1371E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -0.809529    1.143287    0.000000   -0.809529    1.143287    0.000000  0.0000E+00  0.0000E+00 -0.1042E+00  0.0000E+00  0.0000E+00 -0.1042E+00  0.0000E+00  0.0000E+00 -0.1042E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -0.784620    1.186430    0.000000   -0.784620    1.186430    0.000000  0.0000E+00  0.0000E+00 -0.7011E-01  0.0000E+00  0.0000E+00 -0.7011E-01  0.0000E+00  0.0000E+00 -0.7011E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.759712    1.229573    0.000000   -0.759712    1.229573    0.000000  0.0000E+00  0.0000E+00 -0.3526E-01  0.0000E+00  0.0000E+00 -0.3526E-01  0.0000E+00  0.0000E+00 -0.3526E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.734803    1.272716    0.000000   -0.734803    1.272716    0.000000  0.0000E+00  0.0000E+00  0.8222E-15  0.0000E+00  0.0000E+00  0.8222E-15  0.0000E+00  0.0000E+00  0.8222E-15  0.0000E+00  0.0000E+00  0.0000E+00
  
   -2.154592   -1.272716    0.000000   -2.154592   -1.272716    0.000000  0.0000E+00  0.0000E+00  0.3526E-01  0.0000E+00  0.0000E+00  0.3526E-01  0.0000E+00  0.0000E+00  0.3526E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -2.129683   -1.229573    0.000000   -2.129683   -1.229573    0.000000  0.0000E+00  0.0000E+00  0.7266E-01  0.0000E+00  0.0000E+00  0.7266E-01  0.0000E+00  0.0000E+00  0.7266E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -2.104775   -1.186430    0.000000   -2.104775   -1.186430    0.000000  0.0000E+00  0.0000E+00  0.1119E+00  0.0000E+00  0.0000E+00  0.1119E+00  0.0000E+00  0.0000E+00  0.1119E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -2.079866   -1.143287    0.000000   -2.079866   -1.143287    0.000000  0.0000E+00  0.0000E+00  0.1526E+00  0.0000E+00  0.0000E+00  0.1526E+00  0.0000E+00  0.0000E+00  0.1526E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -2.054957   -1.100144    0.000000   -2.054957   -1.100144    0.000000  0.0000E+00  0.0000E+00  0.1941E+00  0.0000E+00  0.0000E+00  0.1941E+00  0.0000E+00  0.0000E+00  0.1941E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -2.030049   -1.057001    0.000000   -2.030049   -1.057001    0.000000  0.0000E+00  0.0000E+00  0.2360E+00  0.0000E+00  0.0000E+00  0.2360E+00  0.0000E+00  0.0000E+00  0.2360E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -2.005140   -1.013859    0.000000   -2.005140   -1.013859    0.000000  0.0000E+00  0.0000E+00  0.2773E+00  0.0000E+00  0.0000E+00  0.2773E+00  0.0000E+00  0.0000E+00  0.2773E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.980232   -0.970716    0.000000   -1.980232   -0.970716    0.000000  0.0000E+00  0.0000E+00  0.3173E+00  0.0000E+00  0.0000E+00  0.3173E+00  0.0000E+00  0.0000E+00  0.3173E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.955323   -0.927573    0.000000   -1.955323   -0.927573    0.000000  0.0000E+00  0.0000E+00  0.3550E+00  0.0000E+00  0.0000E+00  0.3550E+00  0.0000E+00  0.0000E+00  0.3550E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.930415   -0.884430    0.000000   -1.930415   -0.884430    0.000000  0.0000E+00  0.0000E+00  0.3894E+00  0.0000E+00  0.0000E+00  0.3894E+00  0.0000E+00  0.0000E+00  0.3894E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.905506   -0.841287    0.000000   -1.905506   -0.841287    0.000000  0.0000E+00  0.0000E+00  0.4196E+00  0.0000E+00  0.0000E+00  0.4196E+00  0.0000E+00  0.0000E+00  0.4196E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.880597   -0.798144    0.000000   -1.880597   -0.798144    0.000000  0.0000E+00  0.0000E+00  0.4447E+00  0.0000E+00  0.0000E+00  0.4447E+00  0.0000E+00  0.0000E+00  0.4447E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.855689   -0.755001    0.000000   -1.855689   -0.755001    0.000000  0.0000E+00  0.0000E+00  0.4638E+00  0.0000E+00  0.0000E+00  0.4638E+00  0.0000E+00  0.0000E+00  0.4638E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.830780   -0.711858    0.000000   -1.830780   -0.711858    0.000000  0.0000E+00  0.0000E+00  0.4763E+00  0.0000E+00  0.0000E+00  0.4763E+00  0.0000E+00  0.0000E+00  0.4763E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.805872   -0.668715    0.000000   -1.805872   -0.668715    0.000000  0.0000E+00  0.0000E+00  0.4817E+00  0.0000E+00  0.0000E+00  0.4817E+00  0.0000E+00  0.0000E+00  0.4817E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.780963   -0.625572    0.000000   -1.780963   -0.625572    0.000000  0.0000E+00  0.0000E+00  0.4799E+00  0.0000E+00  0.0000E+00  0.4799E+00  0.0000E+00  0.0000E+00  0.4799E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.756054   -0.582429    0.000000   -1.756054   -0.582429    0.000000  0.0000E+00  0.0000E+00  0.4709E+00  0.0000E+00  0.0000E+00  0.4709E+00  0.0000E+00  0.0000E+00  0.4709E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.731146   -0.539286    0.000000   -1.731146   -0.539286    0.000000  0.0000E+00  0.0000E+00  0.4550E+00  0.0000E+00  0.0000E+00  0.4550E+00  0.0000E+00  0.0000E+00  0.4550E+00  0.0000E+00  0.0000E+00  0.0000E+00
